Id	Name	InChI	logKow_KOWWIN	logKow_KOWWIN_exp	logKow_ALOGPS	HF	dipole	eTotal	eElectronic	eNuclear	MW	saCOSMO	vCOSMO	eNHOMO	eHOMO	eLUMO	eSLUMO	eGap	qMin	qMinRing	qMax	qMaxRing	qMaxH	qAvgRing	polarityRing	qElephMax	qElephMaxRing	qElephMaxH	qElephAvgRing	qNuphMax	qNuphMaxRing	qNuphMaxH	qNuphAvgRing
1	hexabromobenzene	InChI=1S/C6Br6/c7-1-2(8)4(10)6(12)5(11)3(1)9	7.33	N/A	5.78	56.4043	0.0	-2070.71895	-9986.05189	7915.33294	551.49	241.75	271.66	-9.826	-9.826	-1.524	-1.524	8.302	-0.045664	-0.045664	0.045682	-0.045647	N/A	-0.045658	0.26064214	0.204684	0.127022	N/A	0.063815	0.314050	0.314050	N/A	0.158629
2	1,2,3,4,5-pentabromo-6-chlorobenzene	InChI=1S/C6Br5Cl/c7-1-2(8)4(10)6(12)5(11)3(1)9	7.09	N/A	5.92	44.17296	0.21	-2115.29321	-10123.99963	8008.70642	507.039	237.83	265.56	-9.885	-9.847	-1.55	-1.522	8.297	-0.062150	-0.062150	0.051961	-0.013670	N/A	-0.044265	0.24108121999999998	0.156355	0.096349	N/A	0.063379	0.241082	0.241082	N/A	0.158606
3	1,2,4,5-tetrabromo-3,6-dichlorobenzene	InChI=1S/C6Br4Cl2/c7-1-2(8)6(12)4(10)3(9)5(1)11	6.84	N/A	5.98	31.98061	0.0	-2159.86569	-10262.08249	8102.2168	462.588	233.82	259.12	-9.956	-9.867	-1.577	-1.521	8.290	-0.053347	-0.053347	0.052826	-0.021900	N/A	-0.042862	0.23814484	0.155565	0.094495	N/A	0.062976	0.238145	0.238145	N/A	0.158601
4	1,2,3,5-tetrabromo-4,6-dichlorobenzene	InChI=1S/C6Br4Cl2/c7-1-2(8)5(11)4(10)6(12)3(1)9	6.84	N/A	5.98	32.01446	0.213	-2159.86407	-10262.14979	8102.28572	462.588	233.88	259.29	-9.932	-9.886	-1.563	-1.535	8.323	-0.078655	-0.078655	0.058175	-0.004626	N/A	-0.042810	0.24666235999999997	0.227452	0.130972	N/A	0.064570	0.324560	0.324560	N/A	0.158382
5	1,2,3,4-tetrabromo-5,6-dichlorobenzene	InChI=1S/C6Br4Cl2/c7-1-2(8)4(10)6(12)5(11)3(1)9	6.84	N/A	5.98	31.76667	0.411	-2159.87487	-10266.51495	8106.64009	462.588	233.4	259.23	-9.94	-9.888	-1.567	-1.542	8.321	-0.052533	-0.052533	0.053481	-0.031548	N/A	-0.042971	0.23699565	0.227357	0.127022	N/A	0.064521	0.315396	0.315396	N/A	0.158321
6	1,2,4-tribromo-3,5,6-trichlorobenzene	InChI=1S/C6Br3Cl3/c7-1-2(8)5(11)6(12)3(9)4(1)10	6.60	N/A	6.03	19.64519	0.252	-2204.44402	-10404.74934	8200.30532	418.137	229.35	252.44	-10.015	-9.915	-1.591	-1.545	8.324	-0.069000	-0.069000	0.059653	-0.012539	N/A	-0.041502	0.27676176	0.221670	0.122921	N/A	0.064512	0.295176	0.295176	N/A	0.158264
7	1,3,5-tribromo-2,4,6-trichlorobenzene	InChI=1S/C6Br3Cl3/c7-1-4(10)2(8)6(12)3(9)5(1)11	6.60	N/A	6.03	19.92854	0.0	-2204.43154	-10400.51578	8196.08424	418.137	229.72	252.68	-9.954	-9.954	-1.562	-1.562	8.392	-0.086969	-0.086969	0.058018	0.004385	N/A	-0.041293	0.27487575	0.272921	0.141828	N/A	0.068892	0.326042	0.326042	N/A	0.157919
8	1,2,3-tribromo-4,5,6-trichlorobenzene	InChI=1S/C6Br3Cl3/c7-1-2(8)4(10)6(12)5(11)3(1)9	6.60	N/A	6.04	19.53091	0.505	-2204.44895	-10408.63776	8204.18881	418.137	229.41	252.94	-9.968	-9.962	-1.575	-1.572	8.387	-0.060560	-0.060560	0.053420	-0.021554	N/A	-0.041643	0.24579252000000001	0.203776	0.109628	N/A	0.068895	0.320924	0.320924	N/A	0.157899
9	1,4-dibromo-2,3,5,6-tetrachlorobenzene	InChI=1S/C6Br2Cl4/c7-1-3(9)5(11)2(8)6(12)4(1)10	6.35	N/A	5.74	7.35237	0.0	-2249.0204	-10547.45546	8298.43506	373.686	225.45	246.37	-10.109	-9.954	-1.612	-1.563	8.342	-0.059316	-0.059316	0.061191	-0.030516	N/A	-0.040122	0.23362524000000007	0.252023	0.126096	N/A	0.065184	0.313601	0.313601	N/A	0.158050
10	1,3-dibromo-2,4,5,6-tetrachlorobenzene	InChI=1S/C6Br2Cl4/c7-1-3(9)2(8)5(11)6(12)4(1)10	6.35	N/A	5.77	7.47823	0.291	-2249.01488	-10547.06155	8298.04667	373.686	225.35	246.37	-10.057	-9.985	-1.599	-1.575	8.386	-0.077123	-0.077123	0.059665	-0.003183	N/A	-0.040106	0.24452977	0.206311	0.107388	N/A	0.068317	0.244531	0.244531	N/A	0.157842
